rf_power_w,process_time_min,rta_condition,rta_temp_c,measurement_type,curve_count,on_off_median,on_off_log10_median,leakage_median_a,operation_voltage_median_v,forming_voltage_median_v,max_abs_current_median_a
50.0,,as_deposited,,endurance,20,1.1013277723053974,0.041910987211127744,3.778315e-05,1.92,,0.00817532
50.0,60.0,as_deposited,,endurance,71,1.0160203115437465,0.006902390136083534,0.000698832,0.16,,0.01000002
50.0,120.0,400C,400.0,endurance,30,1.03023546572087,0.012935621408210992,0.000570601,0.2,,0.01000009
75.0,30.0,400C,400.0,endurance,50,1.0367264200709272,0.01566413378865233,2.2099749999999998e-05,0.6,,0.001156215
75.0,60.0,as_deposited,,endurance,30,1.03023546572087,0.012935621408210992,0.000570601,0.2,,0.01000009
75.0,120.0,as_deposited,,endurance,50,1.01437053098286,0.0061965972117685,0.000656585,0.16999999999999998,,0.01000002
30.0,,as_deposited,,forming,4,1.0,0.0,5.5727e-07,1.0499999999999998,0.65,0.0010000725
50.0,,as_deposited,,forming,2,1.0,0.0,1.1489645e-05,0.85,0.09999999999999999,0.06252255
50.0,30.0,as_deposited,,forming,4,1.0,0.0,7.849855e-05,0.85,0.09999999999999999,0.010000789999999999
50.0,30.0,300C,300.0,forming,4,1.0,0.0,0.0003852079945,0.6,0.55,0.01000006
50.0,30.0,400C,400.0,forming,3,1.0,0.0,0.000960292,0.2,0.1,0.01000007
50.0,60.0,as_deposited,,forming,6,1.0,0.0,3.98935e-05,0.7999999999999999,0.09999999999999999,0.010000470000000001
50.0,60.0,300C,300.0,forming,3,1.0,0.0,9.165e-09,2.2,2.2,0.01000036
50.0,60.0,400C,400.0,forming,2,1.0,0.0,0.0007533794999999999,0.2,0.1,0.010000084999999999
50.0,120.0,as_deposited,,forming,1,1.0,0.0,1.5772e-06,0.8999999999999999,0.09999999999999999,0.00100003
50.0,120.0,400C,400.0,forming,1,1.0,0.0,1.7344e-08,2.2,2.2,0.0100011
75.0,30.0,as_deposited,,forming,3,1.0,0.0,1.02256e-06,0.8999999999999999,0.8999999999999999,0.01000004
75.0,30.0,300C,300.0,forming,2,1.0,0.0,0.00031529202100000003,1.4500000000000002,1.4000000000000001,0.010000084999999999
75.0,30.0,400C,400.0,forming,2,1.0,0.0,0.000421772562,1.55,1.5,0.010000160000000001
75.0,60.0,as_deposited,,forming,3,1.0,0.0,3.3823e-08,2.7,2.7,0.01000072
75.0,60.0,300C,300.0,forming,2,1.0,0.0,1.19095e-08,2.6,2.6,0.010000624999999999
75.0,60.0,400C,400.0,forming,1,1.0,0.0,0.000227448,0.4,1.8,0.01000031
75.0,120.0,as_deposited,,forming,4,1.0,0.0,0.00020880850000000003,0.44999999999999996,0.09999999999999999,0.01000006
75.0,120.0,300C,300.0,forming,3,1.0,0.0,0.000531181,0.2,0.1,0.0100001
75.0,120.0,400C,400.0,forming,1,1.0,0.0,0.000285747,0.4,0.1,0.01000539
30.0,,as_deposited,,iv,2,816.4593003059176,1.8520131184366977,2.5469969499999998e-05,0.055,,0.0010000895000000002
50.0,30.0,as_deposited,,iv,4,4.645628741214908,0.6664725396775363,0.000174337,0.135,,0.010000175
50.0,30.0,300C,300.0,iv,3,22.01269463859908,1.3426732090705442,4.39083e-05,0.15,,0.01000051
50.0,30.0,400C,400.0,iv,4,7.059353565250295,0.6065676670712234,0.0003671305,0.12,,0.01000013
50.0,60.0,as_deposited,,iv,8,1.7054738561465779,0.22608827940280826,0.0003288595,0.155,,0.01000021
50.0,60.0,300C,300.0,iv,4,12973.60398689312,3.901861517792422,1.717185e-07,0.16999999999999998,,0.0100002
50.0,120.0,as_deposited,,iv,113,7.542935499340608,0.8775403940210983,2.6524100000000002e-05,0.06,,0.0010000990000000002
50.0,120.0,400C,400.0,iv,1,1.509671102126609,0.17888234193566033,0.000348254,0.2,,0.01000026
75.0,30.0,as_deposited,,iv,3,1.4967620806290087,0.17515277209872693,0.00039628600000000003,0.16,,0.01000004
75.0,30.0,300C,300.0,iv,2,40199.457454702984,4.595484159474028,1.96545e-08,0.18,,0.01000034
75.0,30.0,400C,400.0,iv,2,32.32591710091514,1.2539184607609877,7.040165e-05,0.135,,0.01000175
75.0,60.0,as_deposited,,iv,5,17.987253731927296,1.2549648609489867,4.0890400000000004e-05,0.15,,0.01000011
75.0,60.0,300C,300.0,iv,2,18745.283018867925,4.272892001845045,5.3e-08,0.18,,0.01000161
75.0,120.0,as_deposited,,iv,5,1.1642408748038273,0.066042842664142,0.00037301600000000005,0.15,,0.01000005
75.0,120.0,300C,300.0,iv,2,1.2076304833970062,0.0772094313690612,0.00038649284999999996,0.435,,0.01000024
75.0,120.0,400C,400.0,iv,1,2.743925609353389,0.4383723330240477,0.000208951,0.24,,0.01000034
