RF_Power_W,Process_Time_Min,RTA_Temperature_C,Has_RTA,Leakage_Current_A,On_Off_Ratio,Operation_Voltage_V,IV_Curve_Count,Forming_Voltage_V,Forming_Curve_Count,Endurance_Cycles,Endurance_File_Count,Leakage_Current_Log10,On_Off_Log10
50.0,30.0,25.0,0,0.000174337,4.728091912246288,0.135,4,0.0999999999999999,4,,,-3.758610431647679,0.6746859104690947
50.0,30.0,300.0,1,4.22073e-05,23.01625548187162,0.15,3,0.5499999999999999,4,,,-4.374612428764943,1.3620346696048655
50.0,30.0,400.0,1,0.0003671305,7.560269977369699,0.12,4,0.1,3,,,-3.435179534233506,0.8785373044414684
50.0,60.0,25.0,0,0.0003288595,1.706817480826429,0.155,8,0.0999999999999999,6,51.0,2.0,-3.482989607847647,0.23218708215281242
50.0,60.0,300.0,1,1.487545e-07,14370.542923152487,0.16999999999999998,4,2.2,3,,,-6.827529887477679,4.157473176211824
50.0,60.0,400.0,1,0.00076253,1.0604894233669495,0.16,1,0.1,2,,,-3.117743065321296,0.025506341502956387
50.0,120.0,25.0,0,2.54546e-05,8.083195443574729,0.06,113,0.0999999999999999,1,,,-4.594233723185971,0.9075830797313559
50.0,120.0,400.0,1,0.000348254,1.5222567436411356,0.2,1,2.2,1,30.0,1.0,-3.458103886625604,0.18248790666786152
75.0,30.0,25.0,0,0.000471477,1.407166226028953,0.16,4,0.8999999999999999,3,,,-3.3265394885400577,0.14834540289533948
75.0,30.0,300.0,1,1.343e-08,57772.473078922536,0.18,2,1.4000000000000001,2,,,-7.871923987331285,4.761720958878449
75.0,30.0,400.0,1,7.006759999999999e-05,35.25442290890327,0.135,2,1.5,2,50.0,1.0,-4.15448275798248,1.547213609963844
75.0,60.0,25.0,0,4.08904e-05,18.002196114491422,0.15,5,1.4000000000000001,4,30.0,1.0,-4.388378641048915,1.255325488560393
75.0,60.0,300.0,1,4.63e-08,21457.883369330455,0.18,2,2.6,2,,,-7.334419008982047,4.3315868804278805
75.0,60.0,400.0,1,0.00016986,1.5466619569056872,0.35,1,,1,,,-3.7699088802512533,0.18939540336130545
75.0,120.0,25.0,0,0.000373016,1.1802468823301102,0.15,5,0.0999999999999999,4,50.0,1.0,-3.4282725393369406,0.07197286189836319
75.0,120.0,300.0,1,0.00037261775000000004,1.2806077763777681,0.435,2,0.1,3,,,-3.4287364609173805,0.10741613471109106
75.0,120.0,400.0,1,0.000208161,2.892506281195805,0.24,1,0.1,1,,,-3.6816006344381447,0.461274310713058
