source_file,source_extension,parse_status,records,message
RAW_DATA/20221105/SiC 30W  forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/SiC 30W  forming-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/SiC 30W  forming-3.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/SiC 30W  forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/SiC 30W  I-V Curve -1.xlsx,.xlsx,parsed,202,
RAW_DATA/20221105/SiC 30W  I-V Curve.xlsx,.xlsx,parsed,202,
RAW_DATA/20221105/SiC 50W  forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/SiC 50W  forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221105/sic 50W endurance 1.3.7 total 20次.csv,.csv,parsed,4040,
RAW_DATA/20221112/I_V Sweep [50W_2h(27) ; 2022_11_12.csv,.csv,parsed,5656,
RAW_DATA/20221112/I_V Sweep [50W_2h(27) _ 2022_11_12(1)(1).csv,.csv,parsed,5656,
RAW_DATA/20221112/I_V Sweep [50W_2h(27) _ 2022_11_12(1).csv,.csv,parsed,5656,
RAW_DATA/20221112/I_V Sweep [50W_2h(27) _ 2022_11_12.csv,.csv,parsed,5656,
RAW_DATA/20221112/SiC 50W-2h  I-V.xlsx,.xlsx,parsed,202,
RAW_DATA/20221112/SiC 50W-2h forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221112/SiC 75W-2h forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221112/SiC 75W-2h I-V.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/I_V Sweep [SiC 75W 2H(50)  Endurance  1.19~23.25.26.33.35.38.41.42.44.csv,.csv,parsed,10100,
RAW_DATA/20221119/I_V Sweep Sic 50W 1h(20) Endurance.csv,.csv,parsed,4040,
RAW_DATA/20221119/I_V Sweep Sic 50W 1h(50) Endurance 1~5.csv,.csv,parsed,10302,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming-3.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming-4.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming-5.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 Forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V -1.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V -2.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V -3.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V Curve-4.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V Curve-5.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V Curve-6.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 50W-1h-Ar10 I-V.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 75W-2h-Ar10 Forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 75W-2h-Ar10 Forming-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 75W-2h-Ar10 Forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20221119/SiC 75W-2h-Ar10 I-V Curve-1.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 75W-2h-Ar10 I-V Curve-2.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 75W-2h-Ar10 I-V Curve-3.xlsx,.xlsx,parsed,202,
RAW_DATA/20221119/SiC 75W-2h-Ar10 I-V Curve.xlsx,.xlsx,parsed,202,
RAW_DATA/20230224 -金覺/forming-50W-30min-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20230224 -金覺/forming-50W-30min-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20230224 -金覺/forming-50W-30min-3.xlsx,.xlsx,parsed,101,
RAW_DATA/20230224 -金覺/forming-50W-30min.xlsx,.xlsx,parsed,101,
RAW_DATA/20230224 -金覺/IV-50W-30min-1.xlsx,.xlsx,parsed,202,
RAW_DATA/20230224 -金覺/IV-50W-30min-2.xlsx,.xlsx,parsed,202,
RAW_DATA/20230224 -金覺/IV-50W-30min-3.xlsx,.xlsx,parsed,202,
RAW_DATA/20230224 -金覺/IV-50W-30min.xlsx,.xlsx,parsed,202,
RAW_DATA/20230414 -金覺/75W-30min-Forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20230414 -金覺/75W-30min-Forming-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20230414 -金覺/75W-30min-Forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20230414 -金覺/75W-30min-IV-1-1.xlsx,.xlsx,parsed,202,
RAW_DATA/20230414 -金覺/75W-30min-IV-1.xlsx,.xlsx,parsed,202,
RAW_DATA/20230414 -金覺/75W-30min-IV-NG.xlsx,.xlsx,parsed,202,
RAW_DATA/20230414 -金覺/75W-30min-IV.xlsx,.xlsx,parsed,202,
RAW_DATA/20230421-金覺/75W-1H-Forming-1.xlsx,.xlsx,parsed,101,
RAW_DATA/20230421-金覺/75W-1H-Forming-2.xlsx,.xlsx,parsed,101,
RAW_DATA/20230421-金覺/75W-1H-Forming-3.xlsx,.xlsx,parsed,101,
RAW_DATA/20230421-金覺/75W-1H-Forming.xlsx,.xlsx,parsed,101,
RAW_DATA/20230421-金覺/75W-1H-IV-1.xlsx,.xlsx,parsed,202,
RAW_DATA/20230421-金覺/75W-1H-IV-2.xlsx,.xlsx,parsed,202,
RAW_DATA/20230421-金覺/75W-1H-IV-3.xlsx,.xlsx,parsed,202,
RAW_DATA/20230421-金覺/75W-1H-IV.xlsx,.xlsx,parsed,202,
RAW_DATA/20230818-K/RTA300-50w-1H-forming-2.5V.xlsx,.xlsx,parsed,101,
RAW_DATA/20230818-K/RTA300-50w-1H-forming-2V.xlsx,.xlsx,parsed,101,
RAW_DATA/20230818-K/RTA300-50w-1H-forming-3V.xlsx,.xlsx,parsed,101,
RAW_DATA/20230818-K/RTA300-50w-1H-IV-2.5V.xlsx,.xlsx,parsed,202,
RAW_DATA/20230818-K/RTA300-50w-1H-IV-2V.xlsx,.xlsx,parsed,202,
RAW_DATA/20230818-K/RTA300-50w-1H-IV-3V.xlsx,.xlsx,parsed,202,
